model,family,label,precision,recall,f1,support
XGBoost (CUDA),Boosting,wake,0.5783132530120482,0.5008695652173913,0.5368126747437092,575.0
XGBoost (CUDA),Boosting,nrem,0.8432485805973834,0.8243243243243243,0.8336790726052471,4144.0
XGBoost (CUDA),Boosting,rem,0.5873555404486743,0.6641045349730976,0.6233766233766234,1301.0
LightGBM,Boosting,wake,0.6106194690265486,0.48,0.5374878286270691,575.0
LightGBM,Boosting,nrem,0.8384310063039925,0.8665540540540541,0.8522605909576362,4144.0
LightGBM,Boosting,rem,0.6428015564202335,0.6348962336664105,0.6388244392884764,1301.0
CatBoost,Boosting,wake,0.5021834061135371,0.6,0.5467511885895404,575.0
CatBoost,Boosting,nrem,0.8837806967447173,0.7468629343629344,0.8095736332722993,4144.0
CatBoost,Boosting,rem,0.5439650464227198,0.765564950038432,0.6360153256704981,1301.0
CatBoost (Optuna-tuned),Boosting,wake,0.5244299674267101,0.56,0.5416316232127838,575.0
CatBoost (Optuna-tuned),Boosting,nrem,0.8850415512465374,0.7709942084942085,0.8240907918493681,4144.0
CatBoost (Optuna-tuned),Boosting,rem,0.5684855233853007,0.7847809377401999,0.6593477558927995,1301.0
BiLSTM + attention,Sequence,wake,0.45105820105820105,0.5930434782608696,0.512396694214876,575.0
BiLSTM + attention,Sequence,nrem,0.8389296956977964,0.7717181467181468,0.803921568627451,4144.0
BiLSTM + attention,Sequence,rem,0.5482093663911846,0.611837048424289,0.5782782419179078,1301.0
